All solutions,All solutions (corrected),Player solutions,,,All,Player,t,p,df
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,42,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,19,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,73,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,19,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,66,,,,,,,
,,0,,,,,,,
,,66,,,,,,,
,,75,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,36,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,42,,,,,,,
,,15,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,52,,,,,,,
,,36,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,94,,,,,,,
,,100,,,,,,,
,,73,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,48,,,,,,,
,,100,,,,,,,
,,73,,,,,,,
,,0,,,,,,,
,,69,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,52,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,54,,,,,,,
,,15,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,69,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,69,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,69,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,5,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,54,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,54,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,70,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,40,,,,,,,
,,100,,,,,,,
,,89,,,,,,,
,,100,,,,,,,
,,19,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,98,,,,,,,
,,30,,,,,,,
,,88,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,67,,,,,,,
,,100,,,,,,,
,,65,,,,,,,
,,42,,,,,,,
,,70,,,,,,,
,,30,,,,,,,
,,0,,,,,,,
,,59,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,77,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,16,,,,,,,
,,100,,,,,,,
,,70,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,60,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,42,,,,,,,
,,100,,,,,,,
,,8,,,,,,,
,,69,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,60,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,84,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,42,,,,,,,
,,19,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,66,,,,,,,
,,0,,,,,,,
,,69,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,42,,,,,,,
,,42,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,52,,,,,,,
,,19,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,66,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,69,,,,,,,
,,60,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,52,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,88,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,43,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,69,,,,,,,
,,52,,,,,,,
,,66,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,69,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,52,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,75,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,54,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,52,,,,,,,
,,69,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,54,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,4,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,42,,,,,,,
,,52,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,16,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,69,,,,,,,
,,0,,,,,,,
,,73,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,75,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,91,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,2,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,94,,,,,,,
,,0,,,,,,,
,,54,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,19,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,73,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,69,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,78,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,87,,,,,,,
,,0,,,,,,,
,,27,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,8,,,,,,,
,,0,,,,,,,
,,29,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,11,,,,,,,
,,0,,,,,,,
,,73,,,,,,,
,,52,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,52,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,52,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,36,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,73,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,73,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,60,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,73,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,84,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,19,,,,,,,
,,0,,,,,,,
,,5,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,23,,,,,,,
,,30,,,,,,,
,,0,,,,,,,
,,65,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,19,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,54,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,52,,,,,,,
,,100,,,,,,,
,,48,,,,,,,
,,0,,,,,,,
,,54,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,48,,,,,,,
,,94,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,52,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,69,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,69,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,94,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,73,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,69,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,15,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,69,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,69,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,15,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,73,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,40,,,,,,,
,,67,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,94,,,,,,,
,,100,,,,,,,
,,60,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,43,,,,,,,
,,70,,,,,,,
,,100,,,,,,,
,,98,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,69,,,,,,,
,,54,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,54,,,,,,,
,,42,,,,,,,
,,100,,,,,,,
,,75,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,29,,,,,,,
,,30,,,,,,,
,,98,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,75,,,,,,,
,,42,,,,,,,
,,98,,,,,,,
,,0,,,,,,,
,,20,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,70,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,98,,,,,,,
,,98,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,98,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,73,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,15,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,54,,,,,,,
,,100,,,,,,,
,,52,,,,,,,
,,100,,,,,,,
,,67,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,98,,,,,,,
,,69,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,54,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,69,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,52,,,,,,,
,,69,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,52,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,52,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,73,,,,,,,
,,88,,,,,,,
,,100,,,,,,,
,,31,,,,,,,
,,18,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,52,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,80,,,,,,,
,,4,,,,,,,
,,0,,,,,,,
,,52,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,36,,,,,,,
,,0,,,,,,,
,,94,,,,,,,
,,28,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,48,,,,,,,
,,5,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,15,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,54,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,7,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,54,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,75,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,49,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,73,,,,,,,
,,0,,,,,,,
,,66,,,,,,,
,,12,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,12,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,66,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
