"","cond","cond_dur_mean","PLEX_count_mean","cond_dur_sd","PLEX_count_sd","cond_dur_min","PLEX_count_min","cond_dur_max","PLEX_count_max","cond","test_score_mean","Usability_mean","test_score_sd","Usability_sd","test_score_min","Usability_min","test_score_max","Usability_max","condition","t_diff_mean","score_mean","n_mean","t_diff_sd","score_sd","n_sd","t_diff_min","score_min","n_min","t_diff_max","score_max","n_max","group","n","mean","sd","min","max","t","n","mean","sd","min","max"
"11","Ctr",2.79282,5.62352941176471,3.7643167939662,2.2781387065731,0.167433333333333,0,16.30695,10,"Ctr",16.9176470588235,56.5176470588235,2.11126099030595,25.1654580747509,11,3,21,100,"game",14.196261682243,59.134583366158,20.8411214953271,8.62142926068028,16.7488741684582,15.5291263362791,2,15.7777777777778,3,46,92.3,67,0,1552,51.059198709432,30.1981227269281,2.39714846787668,100,10,118,66,41.1773317442091,0,100
"12","Exp",17.336165,7.74444444444444,13.3386578447564,2.15448896994113,0.28025,1,62.2841833333333,12,"Exp",17.4111111111111,55.7333333333333,2.49896358042282,26.4493580134914,10,5,22,100,"iv",9.56701030927835,NA,46.5154639175258,12.271161328238,NA,78.2525443412308,1,NA,3,68,NA,607,1,107,59.134583366158,16.7488741684582,15.7777777777778,92.3,11,97,61.9175257731959,44.2675742180184,0,100
"13","Ctr",2.79282,5.62352941176471,3.7643167939662,2.2781387065731,0.167433333333333,0,16.30695,10,"Ctr",16.9176470588235,56.5176470588235,2.11126099030595,25.1654580747509,11,3,21,100,"game",14.196261682243,59.134583366158,20.8411214953271,8.62142926068028,16.7488741684582,15.5291263362791,2,15.7777777777778,3,46,92.3,67,0,1552,51.059198709432,30.1981227269281,2.39714846787668,100,12,77,69.4155844155844,40.92719808885,0,100
"14","Exp",17.336165,7.74444444444444,13.3386578447564,2.15448896994113,0.28025,1,62.2841833333333,12,"Exp",17.4111111111111,55.7333333333333,2.49896358042282,26.4493580134914,10,5,22,100,"iv",9.56701030927835,NA,46.5154639175258,12.271161328238,NA,78.2525443412308,1,NA,3,68,NA,607,1,107,59.134583366158,16.7488741684582,15.7777777777778,92.3,13,53,61.1132075471698,43.5234951480049,0,100
"15","Ctr",2.79282,5.62352941176471,3.7643167939662,2.2781387065731,0.167433333333333,0,16.30695,10,"Ctr",16.9176470588235,56.5176470588235,2.11126099030595,25.1654580747509,11,3,21,100,"game",14.196261682243,59.134583366158,20.8411214953271,8.62142926068028,16.7488741684582,15.5291263362791,2,15.7777777777778,3,46,92.3,67,0,1552,51.059198709432,30.1981227269281,2.39714846787668,100,14,50,63.22,44.3033559331432,0,100
"16","Exp",17.336165,7.74444444444444,13.3386578447564,2.15448896994113,0.28025,1,62.2841833333333,12,"Exp",17.4111111111111,55.7333333333333,2.49896358042282,26.4493580134914,10,5,22,100,"iv",9.56701030927835,NA,46.5154639175258,12.271161328238,NA,78.2525443412308,1,NA,3,68,NA,607,1,107,59.134583366158,16.7488741684582,15.7777777777778,92.3,15,48,72.2083333333333,41.4687569311939,0,100
"17","Ctr",2.79282,5.62352941176471,3.7643167939662,2.2781387065731,0.167433333333333,0,16.30695,10,"Ctr",16.9176470588235,56.5176470588235,2.11126099030595,25.1654580747509,11,3,21,100,"game",14.196261682243,59.134583366158,20.8411214953271,8.62142926068028,16.7488741684582,15.5291263362791,2,15.7777777777778,3,46,92.3,67,0,1552,51.059198709432,30.1981227269281,2.39714846787668,100,16,65,64.7076923076923,44.3898647908939,0,100
"18","Exp",17.336165,7.74444444444444,13.3386578447564,2.15448896994113,0.28025,1,62.2841833333333,12,"Exp",17.4111111111111,55.7333333333333,2.49896358042282,26.4493580134914,10,5,22,100,"iv",9.56701030927835,NA,46.5154639175258,12.271161328238,NA,78.2525443412308,1,NA,3,68,NA,607,1,107,59.134583366158,16.7488741684582,15.7777777777778,92.3,17,48,68.3541666666667,42.5853284011696,0,100
"19","Ctr",2.79282,5.62352941176471,3.7643167939662,2.2781387065731,0.167433333333333,0,16.30695,10,"Ctr",16.9176470588235,56.5176470588235,2.11126099030595,25.1654580747509,11,3,21,100,"game",14.196261682243,59.134583366158,20.8411214953271,8.62142926068028,16.7488741684582,15.5291263362791,2,15.7777777777778,3,46,92.3,67,0,1552,51.059198709432,30.1981227269281,2.39714846787668,100,18,43,79.6976744186046,37.6459286888218,0,100
"20","Exp",17.336165,7.74444444444444,13.3386578447564,2.15448896994113,0.28025,1,62.2841833333333,12,"Exp",17.4111111111111,55.7333333333333,2.49896358042282,26.4493580134914,10,5,22,100,"iv",9.56701030927835,NA,46.5154639175258,12.271161328238,NA,78.2525443412308,1,NA,3,68,NA,607,1,107,59.134583366158,16.7488741684582,15.7777777777778,92.3,19,51,63.8627450980392,43.0255829049849,0,100
