estimate,estimate1,estimate2,statistic,p.value,parameter,conf.low,conf.high,method,alternative
-0.2529411764705882,4.847058823529411,5.1,-1.128874716231777,0.2605245220113619,171.80212776393918,-0.695215732566795,0.18933337962561855,Welch Two Sample t-test,two.sided
-0.14705882352941124,5.152941176470589,5.3,-0.7267053343972438,0.46841302344909086,168.8033336202507,-0.5465485682088576,0.2524309211500351,Welch Two Sample t-test,two.sided
-14.543345000000002,2.79282,17.336165,-9.933289629542813,9.609840844462068e-17,103.86073819463317,-17.44675918614778,-11.639930813852226,Welch Two Sample t-test,two.sided
-0.09477124183006536,0.49411764705882355,0.5888888888888889,-1.255717611867771,0.21092088687248925,172.06285545507967,-0.24374099057961104,0.054198506919480346,Welch Two Sample t-test,two.sided
-0.44771241830065356,0.3411764705882353,0.7888888888888889,-6.639398570110355,4.2858667798051434e-10,165.96149976635405,-0.5808488741622398,-0.3145759624390672,Welch Two Sample t-test,two.sided
-0.49150326797385624,0.15294117647058825,0.6444444444444445,-7.660291274671389,1.4976209128268447e-12,164.87841471443213,-0.6181892818168343,-0.36481725413087807,Welch Two Sample t-test,two.sided
-0.41045751633986927,0.21176470588235294,0.6222222222222222,-6.03334129194512,9.683026569361094e-9,170.83976646087504,-0.5447481862516759,-0.2761668464280626,Welch Two Sample t-test,two.sided
0.021568627450980316,0.788235294117647,0.7666666666666667,0.34115212725787963,0.7334032609936092,172.9069553897869,-0.10321939700793939,0.14635665190990002,Welch Two Sample t-test,two.sided
-0.23856209150326801,0.5058823529411764,0.7444444444444445,-3.3361626512713523,0.001047144914806013,166.79356005758447,-0.37973939985648963,-0.09738478315004641,Welch Two Sample t-test,two.sided
-0.04967320261437913,0.9058823529411765,0.9555555555555556,-1.2859148272229584,0.20045149469739285,150.21276710760458,-0.12599895392576918,0.026652548697010933,Welch Two Sample t-test,two.sided
-0.17124183006535942,0.5176470588235295,0.6888888888888889,-2.334506829129596,0.020738338876033508,169.95511425523335,-0.3160410953252537,-0.02644256480546519,Welch Two Sample t-test,two.sided
0.07516339869281047,0.35294117647058826,0.2777777777777778,1.0658675358515108,0.28799100647725523,170.44717251666214,-0.06403871537636444,0.21436551276198537,Welch Two Sample t-test,two.sided
0.01568627450980392,0.4823529411764706,0.4666666666666667,0.20652375495183622,0.8366255278818266,172.39111055576566,-0.13423298926926955,0.1656055382888774,Welch Two Sample t-test,two.sided
-0.1581699346405228,0.35294117647058826,0.5111111111111111,-2.127674975131605,0.03478081813312566,172.97154311626653,-0.304898945777833,-0.01144092350321266,Welch Two Sample t-test,two.sided
-0.17124183006535942,0.5176470588235295,0.6888888888888889,-2.334506829129596,0.020738338876033508,169.95511425523335,-0.3160410953252537,-0.02644256480546519,Welch Two Sample t-test,two.sided
-0.21221120028193263,-0.10913718871642222,0.10307401156551041,-1.4137853678884538,0.15924369567744964,170.92250081256387,-0.5085024597445477,0.08408005918068244,Welch Two Sample t-test,two.sided
-0.059423219530857496,-0.030560512901583858,0.028862706629273642,-0.498973360436048,0.6184347908680257,172.25091887206995,-0.2944887552182096,0.17564231615649462,Welch Two Sample t-test,two.sided
1.6081389542483677,19.02742117647059,17.419282222222222,1.358117384042901,0.17624102169265665,168.6043845362521,-0.7294215439057077,3.945699452402443,Welch Two Sample t-test,two.sided
