n,mean,sd,min,max
85,1,0,1,1
85,2.79282,3.7643167939662012,0.16743333333333332,16.30695
85,5.152941176470589,1.4015797409737782,1,7
85,4.847058823529411,1.5000466846143186,1,7
85,43,24.681301964577692,1,85
85,5.6235294117647054,2.2781387065730994,0,10
85,0.49411764705882355,0.5029325764658601,0,1
85,0.3411764705882353,0.47691821142849733,0,1
85,0.15294117647058825,0.3620668957178907,0,1
85,0.21176470588235294,0.41098365299024986,0,1
85,0.788235294117647,0.41098365299024986,0,1
85,0.5058823529411764,0.5029325764658601,0,1
85,0.9058823529411765,0.293725228409004,0,1
85,0.5176470588235295,0.5026540206004229,0,1
85,0.35294117647058826,0.4807207473937337,0,1
85,0.4823529411764706,0.5026540206004229,0,1
85,0.35294117647058826,0.4807207473937337,0,1
85,0.5176470588235295,0.5026540206004229,0,1
85,-0.10913718871642222,0.9079348876261054,-2.6539851454748566,1.6464537476556984
85,19.02742117647059,6.946136091474571,7.74095,49.25384999999999
85,-0.020673605307369308,0.7964126513193798,-1.5248338741727914,1.438243096309844
